EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,AVG_DOSE_RATE_uGy/min,AVG_DOSE_EQV_RATE_uSv/min,COLLECTION_TIME_min,ISS_GEO_LONG_Deg,ISS_GEO_LAT_Deg,ISS_ALTITUDE_km
2018-04-10T22:00:39.000Z,0.0930000,0.126000,1.00000,37.3750,-34.1620,415.342
2018-04-10T22:01:39.000Z,0.103000,0.266000,1.00000,40.7400,-36.6860,416.281
2018-04-10T22:02:39.000Z,0.131000,0.404000,1.00000,44.3450,-39.0920,417.183
2018-04-10T22:03:39.000Z,0.139000,0.383000,1.00000,48.2150,-41.3610,418.034
2018-04-10T22:04:39.000Z,0.197000,0.926000,1.00000,52.3640,-43.4700,418.818
2018-04-10T22:05:39.000Z,0.233000,0.966000,1.00000,56.8170,-45.3980,419.525
2018-04-10T22:06:39.000Z,0.223000,0.836000,1.00000,61.5790,-47.1180,420.142
2018-04-10T22:07:39.000Z,0.270000,1.19400,1.00000,66.6520,-48.6050,420.660
2018-04-10T22:08:39.000Z,0.290000,1.07100,1.00000,72.0130,-49.8320,421.068
2018-04-10T22:09:39.000Z,0.294000,0.954000,1.00000,77.6320,-50.7740,421.362
2018-04-10T22:10:39.000Z,0.297000,1.09300,1.00000,83.4470,-51.4110,421.534
2018-04-10T22:11:39.000Z,0.282000,0.649000,1.00000,89.3900,-51.7270,421.582
2018-04-10T22:12:39.000Z,0.286000,0.796000,1.00000,95.3780,-51.7130,421.504
2018-04-10T22:13:39.000Z,0.277000,0.714000,1.00000,101.312,-51.3720,421.300
2018-04-10T22:14:39.000Z,0.326000,1.29600,1.00000,107.116,-50.7090,420.973
2018-04-10T22:15:39.000Z,0.317000,1.26400,1.00000,112.714,-49.7440,420.527
2018-04-10T22:16:39.000Z,0.324000,1.29100,1.00000,118.055,-48.4940,419.969
2018-04-10T22:17:39.000Z,0.310000,1.30800,1.00000,123.102,-46.9870,419.306
2018-04-10T22:18:39.000Z,0.305000,1.01700,1.00000,127.842,-45.2490,418.546
2018-04-10T22:19:39.000Z,0.243000,0.539000,1.00000,132.269,-43.3050,417.703
2018-04-10T22:20:39.000Z,0.228000,0.642000,1.00000,136.399,-41.1810,416.787
2018-04-10T22:21:39.000Z,0.195000,0.579000,1.00000,140.246,-38.8990,415.812
2018-04-10T22:22:39.000Z,0.164000,0.511000,1.00000,143.831,-36.4820,414.792
2018-04-10T22:23:39.000Z,0.143000,0.683000,1.00000,147.181,-33.9480,413.743
2018-04-10T22:24:39.000Z,0.106000,0.381000,1.00000,150.320,-31.3140,412.679
2018-04-10T22:25:39.000Z,0.0830000,0.166000,1.00000,153.274,-28.5930,411.615
2018-04-10T22:26:39.000Z,0.0760000,0.275000,1.00000,156.065,-25.7990,410.567
2018-04-10T22:27:39.000Z,0.0560000,0.102000,1.00000,158.717,-22.9420,409.549
2018-04-10T22:28:39.000Z,0.0560000,0.192000,1.00000,161.248,-20.0340,408.575
2018-04-10T22:29:39.000Z,0.0390000,0.126000,1.00000,163.678,-17.0810,407.659
2018-04-10T22:30:39.000Z,0.0390000,0.0780000,1.00000,166.028,-14.0910,406.812
2018-04-10T22:31:39.000Z,0.0350000,0.187000,1.00000,168.308,-11.0750,406.046
2018-04-10T22:32:39.000Z,0.0340000,0.141000,1.00000,170.539,-8.03600,405.369
2018-04-10T22:33:39.000Z,0.0320000,0.0520000,1.00000,172.731,-4.98300,404.789
2018-04-10T22:34:39.000Z,0.0280000,0.0320000,1.00000,174.903,-1.91800,404.311
2018-04-10T22:35:39.000Z,0.0280000,0.0610000,1.00000,177.065,1.14900,403.941
2018-04-10T22:36:39.000Z,0.0300000,0.0340000,1.00000,179.234,4.21500,403.678
2018-04-10T22:37:39.000Z,0.0300000,0.0710000,1.00000,-178.579,7.27300,403.524
2018-04-10T22:38:39.000Z,0.0370000,0.169000,1.00000,-176.358,10.3180,403.476
2018-04-10T22:39:39.000Z,0.0290000,0.0630000,1.00000,-174.087,13.3450,403.531
2018-04-10T22:40:39.000Z,0.0300000,0.0320000,1.00000,-171.756,16.3440,403.682
2018-04-10T22:41:39.000Z,0.0320000,0.0390000,1.00000,-169.344,19.3100,403.925
2018-04-10T22:42:39.000Z,0.0350000,0.0850000,1.00000,-166.836,22.2340,404.247
2018-04-10T22:43:39.000Z,0.0360000,0.0620000,1.00000,-164.211,25.1090,404.642
2018-04-10T22:44:39.000Z,0.0540000,0.304000,1.00000,-161.450,27.9240,405.096
2018-04-10T22:45:39.000Z,0.0430000,0.0480000,1.00000,-158.531,30.6690,405.599
2018-04-10T22:46:39.000Z,0.0550000,0.180000,1.00000,-155.432,33.3300,406.138
2018-04-10T22:47:39.000Z,0.0670000,0.261000,1.00000,-152.126,35.8950,406.699
2018-04-10T22:48:39.000Z,0.0920000,0.610000,1.00000,-148.586,38.3480,407.271
2018-04-10T22:49:39.000Z,0.0860000,0.194000,1.00000,-144.794,40.6680,407.838
2018-04-10T22:50:39.000Z,0.101000,0.149000,1.00000,-140.720,42.8360,408.391
2018-04-10T22:51:39.000Z,0.142000,0.622000,1.00000,-136.349,44.8280,408.915
2018-04-10T22:52:39.000Z,0.160000,0.401000,1.00000,-131.665,46.6210,409.402
2018-04-10T22:53:39.000Z,0.201000,0.646000,1.00000,-126.670,48.1850,409.839
2018-04-10T22:54:39.000Z,0.237000,0.989000,1.00000,-121.373,49.4960,410.219
2018-04-10T22:55:39.000Z,0.240000,0.472000,1.00000,-115.809,50.5280,410.534
2018-04-10T22:56:39.000Z,0.266000,0.720000,1.00000,-110.024,51.2580,410.779
2018-04-10T22:57:39.000Z,0.289000,0.992000,1.00000,-104.086,51.6690,410.949
2018-04-10T22:58:39.000Z,0.282000,0.930000,1.00000,-98.0870,51.7510,411.041
2018-04-10T22:59:39.000Z,0.293000,1.02800,1.00000,-92.1090,51.5000,411.055
2018-04-10T23:00:39.000Z,0.268000,0.518000,1.00000,-86.2440,50.9250,410.992
2018-04-10T23:01:39.000Z,0.294000,0.849000,1.00000,-80.5640,50.0380,410.854
2018-04-10T23:02:39.000Z,0.275000,0.699000,1.00000,-75.1340,48.8610,410.647
